Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
Simplex,4,Simplex 14,146565000,146565000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,5,Simplex 14,146580000,146580000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,6,Simplex 14,146595000,146595000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,7,Simplex 14,147495000,147495000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,8,Simplex 14,147510000,147510000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,9,Simplex 14,147525000,147525000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,10,Simplex 14,147540000,147540000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,11,Simplex 14,147555000,147555000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,12,Simplex 14,147570000,147570000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,13,Simplex 14,147585000,147585000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

DMR Simple,1,DMR Sim 14,146420000,146420000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,2,DMR Sim 14,146440000,146440000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,3,DMR Sim 14,146460000,146460000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,4,DMR Sim 14,147420000,147420000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,5,DMR Sim 14,147440000,147440000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,6,DMR Sim 14,147460000,147460000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
DMR Simple,7,DMR Sim 14,147480000,147480000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simple,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

Alabama,1,Alabama,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Alabama,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Alabama,2,Alabama TA,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,Alabama TA,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
